endpoint,started_at,duration_ms,status,error_type,retry_count,symbol
broker.fetch_account,2026-07-06T16:00:03.358090+00:00,946.6,ok,,0,
broker.fetch_positions,2026-07-06T16:00:08.300269+00:00,551.3,ok,,0,
broker.fetch_account,2026-07-06T19:55:02.654175+00:00,562.4,ok,,0,
broker.fetch_positions,2026-07-06T19:55:06.334355+00:00,558.2,ok,,0,
broker.fetch_bars,2026-07-06T19:55:13.422218+00:00,522.5,ok,,0,DDOG
broker.fetch_bars,2026-07-06T19:55:13.422930+00:00,524.1,ok,,0,FTNT
broker.fetch_bars,2026-07-06T19:55:13.413058+00:00,539.7,ok,,0,IBM
broker.fetch_bars,2026-07-06T19:55:13.411804+00:00,543.5,ok,,0,PATH
broker.fetch_bars,2026-07-06T19:55:13.410961+00:00,577.5,ok,,0,PANW
broker.fetch_bars,2026-07-06T19:55:13.411420+00:00,797.9,ok,,0,CRWD
broker.fetch_bars,2026-07-06T19:55:13.412480+00:00,800.7,ok,,0,CRDO
broker.fetch_bars,2026-07-06T19:55:13.410434+00:00,853.2,ok,,0,RBRK
broker.fetch_bars,2026-07-06T19:55:13.945816+00:00,520.0,ok,,0,SNOW
broker.fetch_bars,2026-07-06T19:55:13.953574+00:00,515.0,ok,,0,FICO
broker.fetch_bars,2026-07-06T19:55:13.947898+00:00,614.3,ok,,0,AMD
broker.fetch_account,2026-07-07T13:25:03.414910+00:00,510.1,ok,,0,
broker.fetch_positions,2026-07-07T13:25:07.222933+00:00,489.7,ok,,0,
broker.fetch_account,2026-07-07T13:35:03.386934+00:00,559.3,ok,,0,
broker.fetch_positions,2026-07-07T13:35:09.331482+00:00,489.2,ok,,0,
broker.fetch_account,2026-07-07T16:00:03.257339+00:00,936.0,ok,,0,
broker.fetch_positions,2026-07-07T16:00:08.046369+00:00,533.9,ok,,0,
broker.fetch_account,2026-07-07T19:55:08.489212+00:00,494.6,ok,,0,
broker.fetch_positions,2026-07-07T19:55:11.402123+00:00,473.2,ok,,0,
broker.fetch_bars,2026-07-07T19:55:14.870381+00:00,562.2,ok,,0,IBM
broker.fetch_bars,2026-07-07T19:55:14.879259+00:00,568.0,ok,,0,DDOG
broker.fetch_bars,2026-07-07T19:55:14.871245+00:00,594.6,ok,,0,NOW
broker.fetch_bars,2026-07-07T19:55:14.871583+00:00,630.5,ok,,0,PATH
broker.fetch_bars,2026-07-07T19:55:14.870012+00:00,652.5,ok,,0,PANW
broker.fetch_bars,2026-07-07T19:55:14.869522+00:00,661.4,ok,,0,RBRK
broker.fetch_bars,2026-07-07T19:55:14.872359+00:00,726.5,ok,,0,CRWD
broker.fetch_bars,2026-07-07T19:55:14.870864+00:00,1036.3,ok,,0,FICO
broker.fetch_bars,2026-07-07T19:55:15.434946+00:00,521.6,ok,,0,ADBE
broker.fetch_bars,2026-07-07T19:55:15.448393+00:00,518.4,ok,,0,SNOW
broker.fetch_bars,2026-07-07T19:55:15.466716+00:00,571.1,ok,,0,FTNT
broker.fetch_bars,2026-07-07T19:55:15.503178+00:00,616.0,ok,,0,CRM
broker.fetch_bars,2026-07-07T19:55:15.523241+00:00,1033.2,ok,,0,META
broker.fetch_account,2026-07-08T13:25:03.358999+00:00,493.7,ok,,0,
broker.fetch_positions,2026-07-08T13:25:07.314908+00:00,484.7,ok,,0,
broker.fetch_account,2026-07-08T13:35:03.578521+00:00,553.7,ok,,0,
broker.fetch_positions,2026-07-08T13:35:08.586846+00:00,490.9,ok,,0,
broker.fetch_account,2026-07-08T16:00:03.139386+00:00,1155.3,ok,,0,
broker.fetch_positions,2026-07-08T16:00:08.450053+00:00,565.5,ok,,0,
broker.fetch_account,2026-07-08T19:55:02.674389+00:00,609.7,ok,,0,
