trade_id,symbol,asset_class,entry_time,exit_time,holding_days,quantity,entry_price,exit_price,realized_pnl,quarantine_reason,exit_reason
broker_match_0092_GTOP,GTOP,,2026-05-15T14:14:46.592606Z,2026-05-15T13:33:36.160967Z,,,46.75,46.17,,r0v2b_reversed_chronology: entry_time > exit_time,stop_loss
broker_match_0171_PSCT,PSCT,,2026-05-13T17:49:42.62329Z,2026-05-13T14:45:59.764054Z,,,79.24,78.43,,r0v2b_reversed_chronology: entry_time > exit_time,stop_loss
broker_match_0172_PSCT,PSCT,,2026-05-13T17:49:42.62329Z,2026-05-13T17:32:25.793019Z,,,79.24,78.89,,r0v2b_reversed_chronology: entry_time > exit_time,stop_loss
broker_match_0174_PSCT,PSCT,,2026-05-14T14:31:21.322225Z,2026-05-14T13:33:23.450464Z,,,79.35,78.42,,r0v2b_reversed_chronology: entry_time > exit_time,stop_loss
broker_match_0175_PSCT,PSCT,,2026-05-15T14:14:32.887201Z,2026-05-14T13:33:23.450464Z,,,78.26,78.42,,r0v2b_reversed_chronology: entry_time > exit_time,stop_loss
broker_match_0176_PSCT,PSCT,,2026-05-15T14:14:32.887201Z,2026-05-14T15:14:11.410447Z,,,78.26,79.6,,r0v2b_reversed_chronology: entry_time > exit_time,stop_loss
broker_match_0177_PSCT,PSCT,,2026-06-25T13:36:46.258371Z,2026-05-14T15:14:11.410447Z,,,87.14,79.6,,r0v2b_reversed_chronology: entry_time > exit_time,time_based
broker_match_0178_PSCT,PSCT,,2026-06-25T13:36:46.258371Z,2026-05-14T17:23:40.161607Z,,,87.14,78.99,,r0v2b_reversed_chronology: entry_time > exit_time,trailing_stop
broker_match_0182_PTF,PTF,,2026-05-14T17:23:51.707667Z,2026-05-14T13:31:33.13156Z,,,122.8,121.05,,r0v2b_reversed_chronology: entry_time > exit_time,stop_loss
broker_match_0184_PTF,PTF,,2026-05-15T14:14:43.076713Z,2026-05-14T15:14:22.245687Z,,,119.84,123.15,,r0v2b_reversed_chronology: entry_time > exit_time,stop_loss
broker_match_0186_PTF,PTF,,2026-06-25T13:37:03.413559Z,2026-05-15T13:33:46.697448Z,,,133.91,118.52,,r0v2b_reversed_chronology: entry_time > exit_time,stop_loss
broker_match_0193_QTUM,QTUM,,2026-05-13T17:32:28.279752Z,2026-05-13T14:46:08.457702Z,,,147.0,145.09,,r0v2b_reversed_chronology: entry_time > exit_time,stop_loss
broker_match_0195_QTUM,QTUM,,2026-05-14T14:31:12.859132Z,2026-05-14T13:34:52.339367Z,,,147.42,146.14,,r0v2b_reversed_chronology: entry_time > exit_time,stop_loss
broker_match_0196_QTUM,QTUM,,2026-05-14T17:23:44.694319Z,2026-05-14T13:34:52.339367Z,,,147.42,146.14,,r0v2b_reversed_chronology: entry_time > exit_time,stop_loss
broker_match_0198_QTUM,QTUM,,2026-05-15T14:02:33.428804Z,2026-05-14T15:14:19.206625Z,,,142.78,147.89,,r0v2b_reversed_chronology: entry_time > exit_time,stop_loss
broker_match_0205_SHOC,SHOC,,2026-05-13T17:49:45.973944Z,2026-05-13T14:46:12.584012Z,,,108.08,106.8,,r0v2b_reversed_chronology: entry_time > exit_time,stop_loss
broker_match_0207_SHOC,SHOC,,2026-05-14T14:31:24.90849Z,2026-05-14T13:30:28.126569Z,,,108.61,107.13,,r0v2b_reversed_chronology: entry_time > exit_time,stop_loss
broker_match_0208_SHOC,SHOC,,2026-05-14T17:23:53.293413Z,2026-05-14T15:30:37.758962Z,,,108.47,109.2,,r0v2b_reversed_chronology: entry_time > exit_time,stop_loss
broker_match_0229_SOXQ,SOXQ,,2026-05-13T17:49:53.416359Z,2026-05-13T15:02:23.147599Z,,,94.9,94.51,,r0v2b_reversed_chronology: entry_time > exit_time,stop_loss
broker_match_0231_SOXQ,SOXQ,,2026-05-14T14:31:44.515677Z,2026-05-14T13:33:53.155991Z,,,94.85,93.95,,r0v2b_reversed_chronology: entry_time > exit_time,stop_loss
broker_match_0232_SOXQ,SOXQ,,2026-05-14T17:24:10.250875Z,2026-05-14T13:33:53.155991Z,,,94.47,93.95,,r0v2b_reversed_chronology: entry_time > exit_time,stop_loss
broker_match_0233_SOXQ,SOXQ,,2026-05-14T17:24:10.250875Z,2026-05-14T15:30:45.529987Z,,,94.47,95.39,,r0v2b_reversed_chronology: entry_time > exit_time,stop_loss
broker_match_0234_SOXQ,SOXQ,,2026-05-15T14:02:36.842602Z,2026-05-14T15:30:45.529987Z,,,91.07,95.39,,r0v2b_reversed_chronology: entry_time > exit_time,stop_loss
broker_match_0235_SOXQ,SOXQ,,2026-05-15T14:02:36.842602Z,2026-05-15T13:32:21.012759Z,,,91.07,91.6,,r0v2b_reversed_chronology: entry_time > exit_time,stop_loss
broker_match_0236_SOXQ,SOXQ,,2026-06-25T13:37:04.754776Z,2026-05-15T13:32:21.012759Z,,,111.3,91.6,,r0v2b_reversed_chronology: entry_time > exit_time,stop_loss
broker_match_0237_SOXX,SOXX,,2026-05-14T17:24:04.733549Z,2026-05-13T15:02:28.562103Z,,,527.3,527.91,,r0v2b_reversed_chronology: entry_time > exit_time,stop_loss
broker_match_0239_SOXX,SOXX,,2026-05-15T14:02:45.747894Z,2026-05-15T13:31:12.105744Z,,,508.56,509.59,,r0v2b_reversed_chronology: entry_time > exit_time,stop_loss
broker_match_0250_TTEQ,TTEQ,,2026-05-13T17:49:50.130232Z,2026-05-13T15:02:31.170794Z,,,41.49,41.11,,r0v2b_reversed_chronology: entry_time > exit_time,stop_loss
broker_match_0252_TTEQ,TTEQ,,2026-05-14T14:31:32.087159Z,2026-05-14T13:33:06.359314Z,,,41.62,41.16,,r0v2b_reversed_chronology: entry_time > exit_time,stop_loss
broker_match_0254_TTEQ,TTEQ,,2026-05-14T17:23:57.451143Z,2026-05-14T15:30:49.407586Z,,,41.7,41.79,,r0v2b_reversed_chronology: entry_time > exit_time,stop_loss
broker_match_0256_TTEQ,TTEQ,,2026-05-15T14:14:26.986591Z,2026-05-15T13:33:00.939662Z,,,40.91,40.6,,r0v2b_reversed_chronology: entry_time > exit_time,stop_loss
broker_match_0027_ANET,ANET,stock,2026-07-22T16:00:27.552937Z,2026-06-25T13:37:11.420643Z,-1,,176.03,166.47,,reversed_chronology: entry_time > exit_time. Root cause: 07-25 SKYY phantom rebuild FIFO mismatch. Moved to quarantine 2026-07-28.,broker_fill
broker_match_0028_ANET,ANET,stock,2026-07-22T16:00:27.552937Z,2026-07-07T13:37:09.334748Z,-1,,176.03,164.98,,reversed_chronology: entry_time > exit_time. Root cause: 07-25 SKYY phantom rebuild FIFO mismatch. Moved to quarantine 2026-07-28.,broker_fill
